title,description,slug,name,weight,parent,label,class
adeeva,"Hijacket Adeeva dirancang khusus untuk kamu para hijaber dan mengusung Motif polkadot di kedua saku dan lengannya, membuat kamu lebih terkesan menyenangkan dan tampil ceria",adeeva,adeeva,10,Katalog Hijacket,,
agnezia,"Hijacket Agnezia series yang nyaman untuk beraktivitas dan memaksimalkan gaya sehari-hari dengan Memainkan pola cuttingan yang unik di tangan dan aksen tali pinggang, siap menjadikan tampilan mu lebih spesial, modist dan stylist.",agnezia,agnezia,20,Katalog Hijacket,new,bg-accent
aurelia,"Sempurnakan tampilan harianmu dengan Hijacket Aurelia Series untuk tampilan chic kamu. Memainkan pola cuttingan unik di tangan dan tali kerut di pinggang, tampil special untuk temani aktivitas harian Kamu.",aurelia,aurelia,30,Katalog Hijacket,new,bg-accent
avia,"Hijacket Avia Original dirancang khusus untuk Hijaber yang ingin tampil modis & sporty. Dengan model modis, dipadu bordir Hijacket dibagian dada dan gaya jari yang menguatkan aktualisasi diri sebagai hijaber",avia,avia,40,Katalog Hijacket,,
basic,"Hijacket Basic merupakan rancangan pertama dari seri Hijacket. Dibuat untuk para Hijaber, dengan style panjang, dan mengikuti trend eropa. Menjadi seri paling wajib kamu miliki.",basic,basic,50,Katalog Hijacket,hits,bg-warning
beautix,"Hijacket Beautix dirancang khusus untuk Hijaber yang ingin tampil modis dan sporty. Dengan model modis, dipadu sablon strip yang menguatkan aktualisasi diri dan sablon dibagian belakang ""BE COURAGEOUS. WONDERS WILL FOLLOW""",beautix,beautix,60,Katalog Hijacket,,
belva,Hijacket Belva Series Bergaya Modis dengan perpaduan warna Pastel yang akan membuat rileks dan meningkatkan rasa percaya diri. Dengan material Micro Quilting Parachute yang nyaman dikenakan,belva,belva,70,Katalog Hijacket,new,bg-accent
camouflashion,Hijacket Camouflashion model eksklusif terbaru yang dirancang dengan kombinasi lebih berani bergaya militer camouflage & fashion hijaber yang membuat hijabmu lebih nge-blend secara sempurna dengan Hijacket.,camouflashion,camouflashion,80,Katalog Hijacket,,
claretta,Hijacket Claretta Model eksklusif yang dirancang dengan kombinasi quotes hijaber ala Hijacket di dua sisi lengan jaket & fashion yang membuat hijabmu lebih Have fun with color dengan Hijacket Claretta.,claretta,claretta,90,Katalog Hijacket,,
elektra,"Hijacket Elektra Series adalah variasi terbaru dari brand Hijacket Casual Look untuk temani aktivitas harian Kamu. Memainkan pola cuttingan unik, handsock untuk Hijaber, dan kantong saku edisi khusus Elektra siap membuat harimu semakin sempurna.",elektra,elektra,100,Katalog Hijacket,new,bg-accent
elma,"Hijacket Elma merupakan seri hijacket gaya modern yang tak lekang oleh waktu, hijacket elma dilengkapi dengan bentuk feminin, saku yang praktis dan pas serbaguna dan dengan tombol pearlescent vintage-chic. Sangat cocok untuk hijaber yang suka tampil formal dan berstyle jas",elma,elma,110,Katalog Hijacket,,
elnara,"Hijacket Elnara ini didesain dengan gaya modern, stylish dan modist. Dengan sentuhan tali di pinggang dengan kedua saku menyamping menjadikannya kamu tampil glamour",elnara,elnara,120,Katalog Hijacket,,
ghania,"Hijacket Ghania menyuguhkan motif yang sangat elegan, dengan perpaduan motif horizontal dan motif vertical membuat pemakainya terlihat dinamis untuk kegiatan sehari-hari",ghania,ghania,130,Katalog Hijacket,,
graciella,"Tampil Glamor dengan Hijacket Graciella Series perpaduan Material Micro Quilting Parachute dan Premium fleece motif menarik, pilihan warna yang memukau akan memberikan kesan Elegan pada tampilan spesialmu.",graciella,graciella,140,Katalog Hijacket,new,bg-accent
