title,description,slug,name,weight,parent,label,class
arumi,"Alcavella Daily Wear Arumi Material PREMIUM COTTON TWIL, dengan desain simple dan tetap membuat kamu semakin percaya diri, yang bisa membuat aktivitas kamu terasa nyaman.",arumi,arumi,10,Katalog Alcavella,new,bg-accent
maida,"Alcavella daily wear Tunic dengan cuttingan design terbaru tekstur serat yang lembut dan nyaman, elegant dan tetap classy dengan aksen ruffle di bagian tangan, aksen tali kerut di bagian pinggang, membuat kamu terlihat lebih stylish.",maida,maida,20,Katalog Alcavella,,
olivia,"Alcavella Daily Wear Olivia material premium cotton twill emang cakep banget buat kasih nuansa vintage look, dan yang paling unik adalah aksen tangan, style di bagian badan, perpaduan warna yang exactly dan collection ini memakai pola jahitan standard butik dengan motif kaktus menambah kesan elegan, dengan karet dibagian tangan sehingga nyaman untuk berwudhu.",olivia,olivia,30,Katalog Alcavella,new,bg-accent
saffana,"Alcavella Daily wear Style Saffana edisi kali ini masih sama dengan edisi sebelumnya. Dengan bahan Premium cotton twill, Karakter material cotton twill ini super lembut, flowy ditambah aksen printing logo Alcavella yang manis di bagian badan dan tali di bagian tangan, celana Alcavella daily wear yang memudahkan kamu beraktivitas.",saffana,saffana,40,Katalog Alcavella,new,bg-accent
stripes,"Alcavella Daily Wear Stripes dengan cuttingan design terbaru di bagian celana bikin tampilan kamu semakin kece, dari material Cotton Import Mix Toyobo yang lembut dan nggak gampang kusut.",stripes,stripes,50,Katalog Alcavella,new,bg-accent
yasmin,"Alcavella Daily Wear Yasmin super cute vintage must have item di lemari kamu! Dari material Cotton Japan Mix Toyobo yang pasti nyaman, lembut, adem, enak banget dipake.",yasmin,yasmin,60,Katalog Alcavella,new,bg-accent
camila,"Alcavella Home Dress Camila Varian warna pada koleksi dress yang satu ini memang eye catching dan calm, pilihan kombinasi dengan material PREMIUM COTTON TWILL dan cuttingan yang tepat dan desain syar'i menjadikan home dress camila ini menjadi salah satu item yang wajib banget kamu punya, untuk melalui aktivitas kamu di masa new normal",camila,camila,70,Katalog Alcavella,new,bg-accent
chapter-01,"Alcavella Home Dress Pakaian yang sangat cocok untuk dipakai di dalam ruangan ataupun d iluar ruangan. Dengan motif unik, tekstur serat yang lembut dan nyaman, tidak menyebabkan panas. Alcavella Home Dress pun cocok untuk dikenakan untuk setiap hari.",chapter-01,chapter-01,80,Katalog Alcavella,,
chapter-02,"Alcavella Home Dress Pakaian yang sangat cocok untuk dipakai di dalam ruangan ataupun d iluar ruangan. Dengan motif unik, tekstur serat yang lembut dan nyaman, tidak menyebabkan panas. Alcavella Home Dress pun cocok untuk dikenakan untuk setiap hari.",chapter-02,chapter-02,90,Katalog Alcavella,,
chapter-03,"Alcavella Home Dress Pakaian yang sangat cocok untuk dipakai di dalam ruangan ataupun d iluar ruangan. Dengan motif unik, tekstur serat yang lembut dan nyaman, tidak menyebabkan panas. Alcavella Home Dress pun cocok untuk dikenakan untuk setiap hari.",chapter-03,chapter-03,100,Katalog Alcavella,,
madina,"Alcavella Home Dress Madina New produk that you must have, dengan material premium cotton toyobo mix print yang benar-benar approved kenyamanannya. Modelnya sangat flowy dibagian bawah, dan tidak membentuk bagian yang sensitive, aksen ruffle di bagian tangan, busui friendly, dan wudhu friendly",madina,madina,110,Katalog Alcavella,,
nadira,"Alcavella Home Dress Nadira dengan motif tali rantai dan terdapat logo Alcavella yang akan memberikan look semakin goodmood. Material cotton twill Jalinan serat yang berbentuk diagonal ini memberikan kesan eksklusif pada baju yang dibuat dengan bahan ini. Terdapat aksen ruffle di bagian tangan, busui friendly, wudhu friendly, tali kerut dan saku praktis.",nadira,nadira,120,Katalog Alcavella,new,bg-accent
polka,"Alcavella Home Dress Polka series mengkreasikan basic pastel colors dengan motif polkadot untuk style fashion yang anggun, nyaman banget di pakai sehari-hari gak bakal ngerasa gerah karena dari material premium cotton japan mix toyobo yang akan memberikan kesan kesegala occasion formal maupun santai.",polka,polka,130,Katalog Alcavella,new,bg-accent
zaiba,"Alcavella Home Dress Pakaian yang sangat cocok untuk dipakai di dalam ruangan ataupun d iluar ruangan. Dengan motif unik, tekstur serat yang lembut dan nyaman, tidak menyebabkan panas. Alcavella Home Dress pun cocok untuk dikenakan untuk setiap hari.",zaiba,zaiba,140,Katalog Alcavella,new,bg-accent
basic,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",basic,micromask-basic,10,Micro Mask,hits,bg-warning
spectrum,"Di Era New Normal ini Lengkapi Stylemu dengan Maker Kain MICRO MASK SPECTRUM, Desain Printing yang Eye Catching membuat Tampilanmu Menjadi Menarik dan Safety tapi tetap Kece. Bahannya dari Premium Fleece yang Lembut dan Dilapisi dengan Hyget Serena, ini akan Terasa Nyaman bagi para Penggunanya, karena di saat Udara Panas Sekalipun Keringat Akan Mudah diserap dengan Baik.",spectrum,spectrum,20,Micro Mask,hits,bg-warning
spectrum-kids,"Micro Mask Kids bahan Elvana Premium yang lembut dan nyaman banget tidak membuat engap, strapnya adjustable bisa di atur sesuai ukuran lingkar kepala. Tetap patuhi protokol kesehatan, jaga jarak, dan jangan lupa pakai micro mask kids by Hijacket untuk anak-anak kita.",spectrum-kids,spectrum-kids,30,Micro Mask,hits,bg-warning
